form_1	freq_1	stem	xpostag	variation	lemma_freq_corrected	corpus_size	form_2	freq_2	odds	log_odds
lúdbőrzenek	1	lúdbőr	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	16048	8570080167	lúdbőröznek	10	0.18181818181818182	-1.7047480922384253
magzani	8	mag	[/V][Inf]	cselekszenek/cselekednek	132765	8570080167	magozni	515	0.01744186046511628	-4.048882188145344
magzanak	16	mag	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	132765	8570080167	magoznak	30	0.5483870967741935	-0.6007738604289302
magzottak	3	mag	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	132765	8570080167	magoztak	12	0.3076923076923077	-1.1786549963416462
magaslani	13	magas	[/V][Inf]	cselekszenek/cselekednek	1149186	8570080167	magasodni	264	0.052830188679245285	-2.9406724963709636
magaslanak	224	magas	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	1149186	8570080167	magasodnak	2735	0.08223684210526316	-2.498151876538021
magaslottak	86	magas	[/V][Pst.NDef.3Pl]	cselekszenek/cselekednek	1149186	8570080167	magasodtak	1138	0.07638279192273925	-2.571997844792598
melegdni	7	meleg	[/V][Inf]	cselekszenek/cselekednek	3625379	8570080167	melegedni	11044	7.243096423721141e-4	-7.230291574174382
melegszetek	3	meleg	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	3625379	8570080167	melegedtek	1427	0.0028011204481792717	-5.877735781779639
melegszenek	2143	meleg	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	3625379	8570080167	melegednek	2449	0.8751020408163265	-0.13341478134808013
mosakszani	3	mosak	[/V][Inf]	cselekszenek/cselekednek	872844	8570080167	mosakodni	3404	0.0011747430249632893	-6.746705857463722
mosakszanak	150	mosak	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	872844	8570080167	mosakodnak	576	0.2616984402079723	-1.3405624296931753
növekdni	4	növek	[/V][Inf]	cselekszenek/cselekednek	58348947	8570080167	növekedni	47978	1.0421225953021114e-4	-9.16908078172488
növekszetek	3	növek	[/V][Prs.NDef.2Pl]	cselekszenek/cselekednek	58348947	8570080167	növekedtek	19710	2.029323727867688e-4	-8.50263777340704
növekszenek	3167	növek	[/V][Prs.NDef.3Pl]	cselekszenek/cselekednek	58348947	8570080167	növekednek	21331	0.1485092818301144	-1.9071078187861763
nyaklani	7	nyak	[/V][Inf]	cselekszenek/cselekednek	4204	8570080167	nyakolni	1	4	1.3862943611198906
nyugszana	5	nyug	[/V][Cond.NDef.3Sg]	cselekszenek/cselekednek	45649875	8570080167	nyugodna	524	0.011428571428571429	-4.471638793363569
nyugszani	1	nyug	[/V][Inf]	cselekszenek/cselekednek	45649875	8570080167	nyugodni	26184	7.637960664502578e-5	-9.479794826153643
