base	cat1_weight	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	lemma_freq_corrected	stem_vowel	long_cluster	consonants
sprivenc	0.3361330314133738	sprivenc	hotelban/hotelben	nonce word response	sprivencnál	sprivencnél	3	23	-1.791759469228055	NA	NA	e	nál	NA	i	FALSE	NA
sprízem	0.39424121336930756	sprízem	hotelban/hotelben	nonce word response	sprízemnál	sprízemnél	3	26	-1.9095425048844383	NA	NA	e	nál	NA	í	FALSE	NA
spumény	0.6557943249037412	spumé¥	hotelban/hotelben	nonce word response	spuménynak	spuménynek	9	17	-0.587786664902119	NA	NA	é	nak	NA	u	FALSE	NA
surnegy	0.4160609160843259	surne©	hotelban/hotelben	nonce word response	surnegynál	surnegynél	9	17	-0.587786664902119	NA	NA	e	nál	NA	u	TRUE	NA
szanéj	0.6678047028589823	ßanéj	hotelban/hotelben	nonce word response	szanéjnak	szanéjnek	15	14	0.06453852113757116	NA	NA	é	nak	NA	a	FALSE	NA
szibed	0.43765662986149506	ßibed	hotelban/hotelben	nonce word response	szibedban	szibedben	2	25	-2.159484249353372	NA	NA	e	ban	NA	i	FALSE	NA
szihét	0.7593613422633033	ßihét	hotelban/hotelben	nonce word response	szihétnak	szihétnek	2	24	-2.120263536200091	NA	NA	é	nak	NA	i	FALSE	NA
szutend	0.5491026506707367	ßutend	hotelban/hotelben	nonce word response	szutendban	szutendben	7	19	-0.916290731874155	NA	NA	e	ban	NA	u	FALSE	NA
tarhéz	0.7240997762600855	tarhéz	hotelban/hotelben	nonce word response	tarhézban	tarhézben	21	6	1.1451323043030026	NA	NA	é	ban	NA	a	TRUE	NA
tivenc	0.437076296356182	tivenc	hotelban/hotelben	nonce word response	tivencban	tivencben	4	23	-1.5686159179138452	NA	NA	e	ban	NA	i	FALSE	NA
tosély	0.7559979005868984	tosé¬	hotelban/hotelben	nonce word response	tosélyban	tosélyben	22	7	1.0560526742493137	NA	NA	é	ban	NA	o	FALSE	NA
trájeg	0.35191637969473455	trájeg	hotelban/hotelben	nonce word response	trájegban	trájegben	5	21	-1.2992829841302609	NA	NA	e	ban	NA	á	FALSE	NA
tranék	0.6798516569370023	tranék	hotelban/hotelben	nonce word response	tranékban	tranékben	17	12	0.32542240043462795	NA	NA	é	ban	NA	a	FALSE	NA
tránély	0.6029313359688538	tráné¬	hotelban/hotelben	nonce word response	tránélynak	tránélynek	21	6	1.1451323043030026	NA	NA	é	nak	NA	á	FALSE	NA
trapszegy	0.567714317920526	trapße©	hotelban/hotelben	nonce word response	trapszegynál	trapszegynél	4	22	-1.5260563034950494	NA	NA	e	nál	NA	a	TRUE	NA
trigenc	0.3882427519289199	trigenc	hotelban/hotelben	nonce word response	trigencnak	trigencnek	1	28	-2.6741486494265287	NA	NA	e	nak	NA	i	FALSE	NA
trikép	0.6830529638292877	trikép	hotelban/hotelben	nonce word response	triképban	triképben	3	23	-1.791759469228055	NA	NA	é	ban	NA	i	FALSE	NA
trincseg	0.3998630850371007	trinçeg	hotelban/hotelben	nonce word response	trincsegban	trincsegben	3	23	-1.791759469228055	NA	NA	e	ban	NA	i	TRUE	NA
trismél	0.6347116014130553	trismél	hotelban/hotelben	nonce word response	trismélnak	trismélnek	3	23	-1.791759469228055	NA	NA	é	nak	NA	i	TRUE	NA
trodély	0.7155594788824569	trodé¬	hotelban/hotelben	nonce word response	trodélyban	trodélyben	22	5	1.3437347467010947	NA	NA	é	ban	NA	o	FALSE	NA
tumély	0.6890184386148666	tumé¬	hotelban/hotelben	nonce word response	tumélynál	tumélynél	10	19	-0.5978370007556204	NA	NA	é	nál	NA	u	FALSE	NA
vismer	0.4343150253356839	vismer	hotelban/hotelben	nonce word response	vismernál	vismernél	0	27	-3.332204510175204	NA	NA	e	nál	NA	i	TRUE	NA
vodec	0.4276434057675393	vodec	hotelban/hotelben	nonce word response	vodecnál	vodecnél	6	20	-1.0986122886681098	NA	NA	e	nál	NA	o	FALSE	NA
vodép	0.7435087953572518	vodép	hotelban/hotelben	nonce word response	vodépnak	vodépnek	8	19	-0.7985076962177716	NA	NA	é	nak	NA	o	FALSE	NA
vorszen	0.4906518691986622	vorßen	hotelban/hotelben	nonce word response	vorszennál	vorszennél	4	25	-1.6486586255873816	NA	NA	e	nál	NA	o	TRUE	NA
vublet	0.3382800712264179	vublet	hotelban/hotelben	nonce word response	vubletnál	vubletnél	6	20	-1.0986122886681098	NA	NA	e	nál	NA	u	TRUE	NA
vurnel	0.3478271873749372	vurnel	hotelban/hotelben	nonce word response	vurnelnak	vurnelnek	5	21	-1.2992829841302609	NA	NA	e	nak	NA	u	TRUE	NA
zábény	0.6334537680236929	zábé¥	hotelban/hotelben	nonce word response	zábénynak	zábénynek	8	18	-0.7472144018302211	NA	NA	é	nak	NA	á	FALSE	NA
zarcég	0.7635280286561326	zarcég	hotelban/hotelben	nonce word response	zarcégnál	zarcégnél	7	22	-1.0560526742493137	NA	NA	é	nál	NA	a	TRUE	NA
zatéj	0.7542007925049699	zatéj	hotelban/hotelben	nonce word response	zatéjnál	zatéjnél	12	14	-0.1431008436406733	NA	NA	é	nál	NA	a	FALSE	NA
zihenc	0.4832370867284487	zihenc	hotelban/hotelben	nonce word response	zihencnak	zihencnek	1	28	-2.6741486494265287	NA	NA	e	nak	NA	i	FALSE	NA
zined	0.44632052703542713	zined	hotelban/hotelben	nonce word response	zinednak	zinednek	1	25	-2.5649493574615367	NA	NA	e	nak	NA	i	FALSE	NA
zopély	0.7182306638606601	zopé¬	hotelban/hotelben	nonce word response	zopélynál	zopélynél	16	11	0.3483066942682158	NA	NA	é	nál	NA	o	FALSE	NA
zsáder	0.2817537976632814	Ωáder	hotelban/hotelben	nonce word response	zsáderban	zsáderben	11	15	-0.2876820724517809	NA	NA	e	ban	NA	á	FALSE	NA
zsádév	0.6127046883374376	Ωádév	hotelban/hotelben	nonce word response	zsádévnak	zsádévnek	14	12	0.14310084364067324	NA	NA	é	nak	NA	á	FALSE	NA
zsalrén	0.747471444404097	Ωalrén	hotelban/hotelben	nonce word response	zsalrénnak	zsalrénnek	13	14	-0.06899287148695143	NA	NA	é	nak	NA	a	TRUE	NA
zsigén	0.734423939611025	Ωigén	hotelban/hotelben	nonce word response	zsigénnál	zsigénnél	3	26	-1.9095425048844383	NA	NA	é	nál	NA	i	FALSE	NA
zsopéd	0.6416837130064643	Ωopéd	hotelban/hotelben	nonce word response	zsopédban	zsopédben	20	7	0.965080896043587	NA	NA	é	ban	NA	o	FALSE	NA
zsúdel	0.31782110655282975	Ωúdel	hotelban/hotelben	nonce word response	zsúdelnak	zsúdelnek	6	21	-1.1451323043030026	NA	NA	e	nak	NA	ú	FALSE	NA
zuten	0.5776504554277898	zuten	hotelban/hotelben	nonce word response	zutennál	zutennél	6	23	-1.2321436812926323	NA	NA	e	nál	NA	u	FALSE	NA
